GSM,GSE,Label,PubMed ID,Release Date,In Situ Site,Disease,Total Reads,High-Quality Reads,FRiP,Num Peaks,motif_ov_ratio
GSM1003784,GSE36030,MEL,,4/11/12,Erythroleukemia Cell,Leukemia,52789682,29745064,0.274,66763,0.8571
GSM1004802,GSE40918,Th0,23021777,9/20/12,Not Stated,,35627695,17885015,0.238,59371,0.8926
GSM1004803,GSE40918,Th0,23021777,9/20/12,Not Stated,,22093014,12435189,0.157,41825,0.9253
GSM1004804,GSE40918,Th17,23021777,9/20/12,Not Stated,,30253375,16913937,0.232,58647,0.889
GSM1004805,GSE40918,Th17,23021777,9/20/12,Not Stated,,25199441,8936787,0.17,38462,0.921
GSM1020012,GSE41603,MEF,23975099,8/9/13,Embryonic Fibroblast,,24736851,10523348,0.098,29582,0.9282
GSM1020013,GSE41603,MEF,23975099,8/9/13,Embryonic Fibroblast,,31168395,12209768,0.105,34229,0.9232
GSM1023416,GSE41743,RAG1KO_CD4-_CD8-_thymocyte,23169622,12/3/12,Not Stated,,10329668,4001773,0.225,33209,0.9305
GSM1023418,GSE41743,CD4+_CD8+_thymocyte,23169622,12/3/12,Not Stated,,7349830,5168483,0.43,44059,0.8823
GSM1023420,GSE41743,RAG1KO_pro_B_cell,23169622,12/3/12,Bone Marrow,,10040506,6272156,0.264,39946,0.9034
GSM1036122,GSE42237,e10.5_forelimb_bud,23704192,5/22/13,Forelimb Bud,,22274999,15790424,0.012,9228,0.9323
GSM1036123,GSE42237,e10.5_forelimb_bud,23704192,5/22/13,Forelimb Bud,,44200100,33349912,0.039,27281,0.8939
GSM1036124,GSE42237,e10.5_hindlimb_bud,23704192,5/22/13,Hindlimb Bud,,28491396,19475765,0.02,15253,0.9504
GSM1036125,GSE42237,e10.5_hindlimb_bud,23704192,5/22/13,Hindlimb Bud,,40090245,26936222,0.038,26333,0.9373
GSM1036126,GSE42237,e11.5_limb_bud,23704192,5/22/13,Limb Bud,,118332008,50091906,0.005,5083,0.9449
GSM1066043,GSE43594,CD43-_activated_B_cell,24145512,10/11/13,Spleen,,50172995,11049212,0.016,10324,0.9741
GSM1066047,GSE43594,CD43-_resting_B_cell,24145512,10/11/13,Spleen,,32320923,17433428,0.046,21507,0.9401
GSM1088169,GSE44637,CD43-_B_cell,24634495,2/5/14,Spleen,,39778767,11091081,0.352,48293,0.823
GSM1088171,GSE44637,plasmablast,24634495,2/5/14,Spleen,,129073920,26139692,0.103,35552,0.8953
GSM1132350,GSE33819,murine_primary_activated_B_cell,21113164;23707059,11/19/11,Spleen,,33366983,17080893,0.417,99255,0.7241
GSM1132351,GSE33819,murine_primary_activated_B_cell,21113164;23707059,11/19/11,Spleen,,120164475,30262838,0.385,115981,0.7087
GSM1132355,GSE33819,murine_primary_activated_B_cell,21113164;23707059,11/19/11,Spleen,,36873302,19627001,0.103,40933,0.8957
GSM1132357,GSE33819,murine_primary_activated_B_cell,21113164;23707059,11/19/11,Spleen,,49419522,26204649,0.077,38763,0.8883
GSM1132358,GSE33819,murine_primary_activated_B_cell,21113164;23707059,11/19/11,Spleen,,50069536,23410430,0.136,51467,0.8632
GSM1145865,GSE43008,RAG2KO_pro_B_cell,23973221,9/30/13,Not Stated,,106881140,78669027,0.443,96050,0.8703
GSM1145866,GSE43008,pro_B_cell,23973221,9/30/13,Not Stated,,103939812,75029198,0.452,106876,0.8476
GSM1151145,GSE47492,Ter119+_erythroid,24413732,12/21/13,Spleen,,155584966,71314020,0.218,43347,0.8933
GSM1156665,GSE47766,RAG1KO_pro_B_cell,23898036,8/5/13,Bone Marrow,,10040506,6272193,0.264,39947,0.9034
GSM1167572,GSE48086,HPC-7,24760698,4/24/14,Hematopoetic Progenitor,,40085503,19103403,0.463,100069,0.7441
GSM1167574,GSE48086,primary_mast_cell,24760698,4/24/14,Bone Marrow,,33076045,15290229,0.489,81834,0.826
GSM1212177,GSE39523,E14,24121688,10/11/13,Embryonic Stem Cell,,40569883,27840170,0.034,28242,0.9529
GSM1249152,GSE51610,TSC,,1/1/16,Trophoblast Stem Cell,,79256204,50726179,0.084,51196,0.9229
GSM1328456,GSE55047,MC3T3-E1 Subclone 4,25120271,5/20/15,"Preosteoblast; Bone, calvaria",,62407086,40611881,0.219,84904,0.7355
GSM1328457,GSE55047,matrix_depositing_osteoblast,25120271,5/20/15,Matrix-depositing Osteoblast,,51077975,35114342,0.153,56186,0.8048
GSM1328458,GSE55047,mineralizing_osteoblast,25120271,5/20/15,Mineralizing Osteoblast,,42043028,29600055,0.201,56901,0.8213
GSM1390713,GSE57814,liver,25209997,9/25/14,Liver,,54893517,33761391,0.042,25600,0.9051
GSM1390714,GSE57814,liver,25209997,9/25/14,Liver,,117343539,74119797,0.036,27380,0.8925
GSM1468392,GSE60240,mESC,25722416,2/26/15,Embryonic Stem Cell,,31320857,5024685,0.087,25857,0.9522
GSM1468394,GSE60240,motor_neuron,25722416,2/26/15,Motor Neuron,,48136291,19881864,0.078,34639,0.9306
GSM1480825,GSE60482,Th1,25686607,2/18/15,"Spleen, Lymph nodes",,38156242,19050245,0.369,71313,0.8263
GSM1493662,GSE60918,WEHI-231,25646466;26484167,8/29/14,B Lymphocyte,B-cell Lymphoma,43592954,22040265,0.04,18212,0.9707
GSM1493663,GSE60918,WEHI-231,25646466;26484167,8/29/14,B Lymphocyte,B-cell Lymphoma,36109696,20447274,0.04,17865,0.9726
GSM1493664,GSE60918,WEHI-231,25646466;26484167,8/29/14,B Lymphocyte,B-cell Lymphoma,36210486,17466111,0.013,6710,0.9816
GSM1493665,GSE60918,WEHI-231,25646466;26484167,8/29/14,B Lymphocyte,B-cell Lymphoma,36478670,12337782,0.018,7555,0.9835
GSM1500003,GSE61236,3134,25677181,2/12/15,Mammary Gland,Malignant neoplasms of the mouse mammary gland,10991934,5213916,0.516,51542,0.9261
GSM1540992,GSE58242,mESC,25578877,1/9/15,Embryonic Stem Cell,,98629796,36070227,0.019,17414,0.963
GSM1540994,GSE58242,mESC,25578877,1/9/15,Embryonic Stem Cell,,48045900,14153921,0.072,28724,0.8917
GSM1540996,GSE58242,differentiating_mESC,25578877,1/9/15,Embryonic Stem Cell,,66642472,35909157,0.028,23079,0.955
GSM1620003,GSE66343,Th2,28938092,10/1/17,Not Stated,,14757505,6193062,0.078,20962,0.9458
GSM1648476,GSE67516,fibroblast,26089354,6/19/15,Fibroblast,,49726696,12444490,0.023,9740,0.965
GSM1648477,GSE67516,fibroblast,26089354,6/19/15,Fibroblast,,49521848,16415877,0.095,27376,0.9399
