Union ID,Loci,Union length,Occupancy score,Occupancy frequency,Constitutive,Genomic feature,Motif,Cell type gain,Cell type lost
25,chr1:869477-870569,1092,2005,0.956,Y,Intron:FAM41C,"chr1:869915-869934(-),chr1:869917-869936(+)",,"MCF-10CA1a,93-VU147T,SiHa"
33,chr1:904318-904979,661,2033,0.969,Y,Promoter:LOC284600;Exon:LOC284600;Intron:LOC284600,"chr1:904765-904784(-),chr1:904767-904786(+)",,
69,chr1:975903-976609,706,1867,0.89,Y,Exon:PERM1;Intron:PERM1,"chr1:976044-976063(-),chr1:976207-976226(-)",,"U2OS,DIvA,LoVo,MCF-10CA1a,GIST-T1,neutrophil"
70,chr1:983875-984583,708,2053,0.979,Y,Promoter:PERM1,"chr1:984316-984335(+),chr1:984395-984414(+)",,MCF-10CA1a
75,chr1:1001733-1002405,672,2029,0.968,Y,Promoter:HES4,"chr1:1002022-1002041(-),chr1:1002025-1002044(-)",,SEM
80,chr1:1019097-1019661,564,1858,0.886,Y,Promoter:AGRN,"chr1:1019440-1019459(+),chr1:1019506-1019525(-)",,"SiHa,cardiac_mesoderm"
90,chr1:1032890-1033320,430,1799,0.858,Y,Intron:AGRN,"chr1:1032889-1032908(+),chr1:1032943-1032962(-),chr1:1033096-1033115(+)",,"U2OS,A549-ACE2,RPE,HEC-1-B,DIvA,LoVo,GBM8,SK-MEL-147,MCF-10A,FULVR,93-VU147T,SiHa,lymph_node,brain,Ca-Ski,CP-A"
102,chr1:1063549-1064253,704,2047,0.976,Y,Intron:LOC100288175,"chr1:1063963-1063982(-),chr1:1063965-1063984(+),chr1:1064000-1064019(-)",,
122,chr1:1121998-1122465,467,2064,0.984,Y,Intergenic,chr1:1122262-1122281(+),,MCF-10CA1a
200,chr1:1290190-1290636,446,1861,0.887,Y,Exon:SCNN1D;Intron:SCNN1D,"chr1:1290327-1290346(-),chr1:1290330-1290349(-)",,"GM18526,DoHH2,OCI-Ly3,SEM,697,MDA-MB-231"
201,chr1:1291634-1292237,603,1967,0.938,Y,Exon:SCNN1D,chr1:1292017-1292036(-),,"brainstem,GBM8,macrophage,neutrophil"
204,chr1:1301938-1302316,378,1648,0.786,Y,Exon:ACAP3;Intron:ACAP3,"chr1:1302115-1302134(+),chr1:1302176-1302195(+)",,"uterus,neutrophil,thyroid_gland,lymph_node"
229,chr1:1349573-1350043,470,1729,0.825,Y,Promoter:DVL1,"chr1:1349704-1349723(-),chr1:1349949-1349968(+)",,macrophage
239,chr1:1371996-1372434,438,2060,0.982,Y,Intergenic,chr1:1372223-1372242(-),,
246,chr1:1399068-1399815,747,1722,0.821,Y,"Promoter:CCNL2,MRPL20-AS1;Exon:CCNL2,MRPL20-AS1;Intron:MRPL20-AS1",chr1:1399781-1399800(-),,"U2OS,A549-ACE2,A-549,GBM8,MP41,93-VU147T,GM25256,Tet21N"
247,chr1:1401878-1402363,485,1639,0.782,Y,"Exon:MRPL20,MRPL20-AS1",chr1:1402158-1402177(-),,"tibial_nerve,uterus,neutrophil,mesothelial_epicardium,thyroid_gland,gastrocnemius_medialis,spleen,thoracic_aorta,retina,cortex"
268,chr1:1440829-1441915,1086,2051,0.978,Y,Exon:VWA1,"chr1:1441066-1441085(-),chr1:1441207-1441226(-),chr1:1441746-1441765(-),chr1:1441751-1441770(+)",,
286,chr1:1504723-1505902,1179,2024,0.965,Y,Intron:ATAD3B,chr1:1505642-1505661(-),,JHOC-5
298,chr1:1550727-1551502,775,1517,0.723,Y,Intron:SSU72,"chr1:1550999-1551018(-),chr1:1551150-1551169(-)",,"U2OS,A549-ACE2,HSPC,brainstem,DIvA,macrophage,neutrophil,LCL1,colon,Mutu-LCL,GM17942,stomach,peyers_patch,R1-hiPSC8,spleen,prostate,RWPE-1,brain"
335,chr1:1665541-1666254,713,1856,0.885,Y,Exon:SLC35E2B;Intron:SLC35E2B,"chr1:1665865-1665884(-),chr1:1666185-1666204(+)",,"tongue,brainstem,uterus,93-VU147T,lymph_node,CP-A"
378,chr1:1788704-1789473,769,1602,0.764,Y,Exon:GNB1;Intron:GNB1,"chr1:1789106-1789125(+),chr1:1789212-1789231(+)",,"U2OS,brainstem,tibial_nerve,testis,uterus,thyroid_gland,NCI-H929,nephron,ovary,vagina,cortex"
419,chr1:1906194-1906692,498,2040,0.973,Y,Exon:LOC124903822;Intron:LOC124903822,chr1:1906405-1906424(-),,CUTLL1
421,chr1:1908830-1909525,695,1884,0.898,Y,Promoter:LOC124903822;Exon:LOC124903822,"chr1:1909039-1909058(-),chr1:1909128-1909147(-)",,SU-DHL-6
