Union ID,Loci,Union length,Occupancy score,Occupancy frequency,Constitutive,Genomic feature,Motif
79,chr1:4416518-4417088,570,1136,0.845,Y,Intergenic,chr1:4416899-4416918(-)
88,chr1:4516541-4517166,625,1114,0.829,Y,Intergenic,chr1:4516732-4516751(+)
114,chr1:4768314-4768938,624,1282,0.954,Y,Intergenic,"chr1:4768767-4768786(-),chr1:4768542-4768561(-)"
115,chr1:4769758-4770476,718,1244,0.926,Y,Promoter:Gm6123,"chr1:4770055-4770074(+),chr1:4770180-4770199(-)"
250,chr1:6272188-6272799,611,1119,0.833,Y,Exon:Rb1cc1;Intron:Rb1cc1,chr1:6272445-6272464(+)
262,chr1:6406100-6406755,655,1152,0.857,Y,Intergenic,"chr1:6406503-6406522(+),chr1:6406096-6406115(-)"
266,chr1:6417789-6418411,622,1182,0.879,Y,Intergenic,chr1:6418069-6418088(-)
344,chr1:7204683-7205202,519,1209,0.9,Y,Intergenic,"chr1:7204945-7204964(+),chr1:7204943-7204962(-)"
366,chr1:7396644-7397885,1241,1314,0.978,Y,Promoter:Gm26901;Exon:Gm26901;Intron:Gm26901,"chr1:7397426-7397445(-),chr1:7397048-7397067(+),chr1:7397046-7397065(-),chr1:7397428-7397447(+)"
368,chr1:7398121-7398622,501,1162,0.865,Y,Promoter:Gm26901,"chr1:7398316-7398335(-),chr1:7398208-7398227(+),chr1:7398381-7398400(+)"
459,chr1:9541146-9541707,561,1202,0.894,Y,Intergenic,"chr1:9541468-9541487(-),chr1:9541481-9541500(+),chr1:9541412-9541431(-),chr1:9541425-9541444(+)"
468,chr1:9572758-9573611,853,1177,0.876,Y,"Promoter:Gm6161;Intron:Adhfe1,2610203C22Rik",chr1:9573402-9573421(+)
502,chr1:9772685-9773378,693,1299,0.967,Y,Intron:1700034P13Rik,chr1:9772941-9772960(+)
564,chr1:10007156-10007656,500,1160,0.863,Y,Promoter:Ppp1r42;Intron:Ppp1r42,"chr1:10007390-10007409(+),chr1:10007428-10007447(-)"
572,chr1:10039333-10040031,698,1190,0.885,Y,"Promoter:Cspp1,Cops5;Exon:Cspp1;Intron:Cspp1",chr1:10039676-10039695(+)
584,chr1:10089454-10090132,678,1304,0.97,Y,Intron:Cspp1,chr1:10089723-10089742(-)
723,chr1:11657442-11658067,625,1201,0.894,Y,Intron:A830018L16Rik,chr1:11657891-11657910(+)
802,chr1:12836739-12837402,663,1135,0.844,Y,Intron:Sulf1,chr1:12836984-12837003(-)
833,chr1:13049922-13050645,723,1216,0.905,Y,Intergenic,chr1:13050316-13050335(+)
834,chr1:13051923-13052553,630,1151,0.856,Y,Intergenic,"chr1:13052155-13052174(+),chr1:13051962-13051981(+)"
857,chr1:13150959-13151655,696,1197,0.891,Y,Intron:Ncoa2,chr1:13151234-13151253(+)
940,chr1:13531214-13532167,953,1250,0.93,Y,Intergenic,chr1:13531682-13531701(-)
952,chr1:13589821-13590886,1065,1279,0.952,Y,Promoter:Tram1;Exon:Tram1,"chr1:13590804-13590823(+),chr1:13589996-13590015(-),chr1:13590874-13590893(+),chr1:13590016-13590035(-)"
980,chr1:13706275-13706942,667,1281,0.953,Y,Intergenic,chr1:13706507-13706526(+)
991,chr1:13784191-13784777,586,1212,0.902,Y,Intergenic,chr1:13784569-13784588(+)
992,chr1:13789135-13789700,565,1268,0.943,Y,Intergenic,chr1:13789384-13789403(+)
1154,chr1:15791392-15792770,1378,1147,0.853,Y,Intergenic,chr1:15792101-15792120(-)
1174,chr1:15902370-15902903,533,1164,0.866,Y,Intergenic,chr1:15902631-15902650(-)
1240,chr1:16433412-16433900,488,1168,0.869,Y,Intron:Stau2,chr1:16433576-16433595(-)
1308,chr1:16798274-16798763,489,1182,0.879,Y,Intergenic,chr1:16798508-16798527(+)
1341,chr1:17163488-17164008,520,1156,0.86,Y,Exon:Gdap1,chr1:17163717-17163736(+)
1456,chr1:19178788-19179626,838,1138,0.847,Y,Intergenic,chr1:19179206-19179225(-)
1459,chr1:19205508-19206572,1064,1239,0.922,Y,Intergenic,"chr1:19205753-19205772(+),chr1:19206373-19206392(+)"
1523,chr1:20513449-20514257,808,1151,0.856,Y,Intron:Pkhd1,chr1:20513904-20513923(-)
1529,chr1:20554322-20554804,482,1192,0.887,Y,Intron:Pkhd1,"chr1:20554591-20554610(-),chr1:20554626-20554645(-)"
1532,chr1:20612617-20613366,749,1258,0.936,Y,Exon:Pkhd1;Intron:Pkhd1,chr1:20612898-20612917(+)
1579,chr1:20933363-20934140,777,1153,0.858,Y,Intron:Paqr8,chr1:20933607-20933626(+)
1581,chr1:20938827-20939459,632,1192,0.887,Y,Exon:Paqr8,chr1:20939223-20939242(+)
1616,chr1:21101102-21101664,562,1186,0.882,Y,Intergenic,chr1:21101409-21101428(-)
1620,chr1:21161562-21162246,684,1235,0.919,Y,Intergenic,chr1:21162001-21162020(-)
1623,chr1:21166147-21166656,509,1213,0.903,Y,Intergenic,chr1:21166354-21166373(+)
1629,chr1:21218275-21218843,568,1317,0.98,Y,Promoter:Tmem14a;Exon:Tmem14a,"chr1:21218565-21218584(+),chr1:21218648-21218667(-)"
1638,chr1:21271333-21272061,728,1142,0.85,Y,"Promoter:Gm28836,Gm7094;Exon:Gm28836;Intron:Gm28836","chr1:21271589-21271608(+),chr1:21271652-21271671(-)"
1650,chr1:21344105-21344859,754,1222,0.909,Y,Intergenic,"chr1:21344506-21344525(+),chr1:21344503-21344522(-)"
1660,chr1:21411103-21411856,753,1218,0.906,Y,Intron:Kcnq5,chr1:21411386-21411405(+)
1667,chr1:21460909-21461559,650,1217,0.906,Y,Exon:Kcnq5;Intron:Kcnq5,chr1:21461273-21461292(+)
1722,chr1:22268751-22269647,896,1270,0.945,Y,Intergenic,chr1:22269162-22269181(-)
1836,chr1:23705382-23705983,601,1128,0.839,Y,Intergenic,"chr1:23705699-23705718(-),chr1:23705712-23705731(+)"
1844,chr1:23762736-23763308,572,1183,0.88,Y,Promoter:B3gat2;Exon:B3gat2;Intron:B3gat2,chr1:23762948-23762967(+)
1846,chr1:23792532-23793324,792,1289,0.959,Y,Intron:B3gat2,chr1:23792941-23792960(-)
1848,chr1:23826869-23827708,839,1234,0.918,Y,Intron:B3gat2,"chr1:23827332-23827351(+),chr1:23827259-23827278(+)"
1901,chr1:24137110-24137621,511,1244,0.926,Y,Intergenic,chr1:24137313-24137332(+)
1906,chr1:24171316-24171872,556,1145,0.852,Y,Intergenic,chr1:24171646-24171665(-)
1916,chr1:24248833-24249560,727,1173,0.873,Y,Intron:Col9a1,chr1:24249324-24249343(-)
1923,chr1:24302601-24303213,612,1124,0.836,Y,Intron:Col19a1,chr1:24302845-24302864(+)
1946,chr1:24677985-24678810,825,1253,0.932,Y,Promoter:Lmbrd1;Exon:Lmbrd1,chr1:24678586-24678605(+)
2010,chr1:25510089-25510939,850,1194,0.888,Y,Intron:Adgrb3,chr1:25510501-25510520(+)
2189,chr1:30584615-30585334,719,1207,0.898,Y,Intergenic,chr1:30585036-30585055(-)
2207,chr1:30778448-30779097,649,1249,0.929,Y,Intergenic,chr1:30778845-30778864(+)
2225,chr1:30920530-30921428,898,1119,0.833,Y,Intergenic,"chr1:30920943-30920962(+),chr1:30921030-30921049(+),chr1:30920846-30920865(+)"
2255,chr1:31153823-31154410,587,1153,0.858,Y,Intron:4931428L18Rik,"chr1:31154163-31154182(-),chr1:31153872-31153891(-)"
2257,chr1:31209942-31210640,698,1157,0.861,Y,Intron:4931428L18Rik,chr1:31210304-31210323(+)
2394,chr1:33672212-33672905,693,1117,0.831,Y,Promoter:Gm38173;Exon:Gm38173,chr1:33672666-33672685(+)
2396,chr1:33684407-33685078,671,1178,0.876,Y,Intergenic,"chr1:33684947-33684966(-),chr1:33684655-33684674(+)"
2410,chr1:33739250-33739766,516,1273,0.947,Y,Exon:Rab23;Intron:Rab23,chr1:33739536-33739555(-)
2411,chr1:33742836-33743569,733,1211,0.901,Y,Intergenic,"chr1:33743405-33743424(-),chr1:33742907-33742926(-),chr1:33743021-33743040(-),chr1:33743367-33743386(+)"
2443,chr1:33892386-33893336,950,1256,0.935,Y,Promoter:Gm37067;Intron:Bend6,chr1:33892953-33892972(+)
2456,chr1:33966288-33967084,796,1181,0.879,Y,Intron:Dst,chr1:33966518-33966537(-)
2505,chr1:34164524-34165265,741,1242,0.924,Y,Exon:Dst;Intron:Dst,chr1:34164836-34164855(-)
2510,chr1:34189627-34190460,833,1188,0.884,Y,Exon:Dst,chr1:34190133-34190152(+)
2515,chr1:34217986-34218736,750,1298,0.966,Y,Exon:Dst;Intron:Dst,chr1:34218502-34218521(+)
2551,chr1:34462563-34463440,877,1212,0.902,Y,Exon:Ptpn18;Intron:Ptpn18,"chr1:34462995-34463014(+),chr1:34462610-34462629(-)"
2567,chr1:34511025-34511720,695,1248,0.929,Y,Intergenic,chr1:34511250-34511269(+)
2597,chr1:34602159-34602752,593,1310,0.975,Y,Intergenic,chr1:34602555-34602574(-)
2601,chr1:34642397-34643030,633,1294,0.963,Y,Intergenic,"chr1:34642784-34642803(+),chr1:34642633-34642652(+)"
2608,chr1:34700462-34701293,831,1130,0.841,Y,Intron:Arhgef4,chr1:34700868-34700887(-)
2613,chr1:34738136-34739043,907,1306,0.972,Y,Intron:Arhgef4,chr1:34738541-34738560(+)
2639,chr1:34867123-34867580,457,1322,0.984,Y,Intron:Plekhb2,"chr1:34867469-34867488(-),chr1:34867339-34867358(+)"
